name,datetime,temp,humidity,precip,windspeed,sealevelpressure,conditions
London,2023-01-02 21:00:00,3.0,90.53,0.0,3.6,1023.6,Clear
London,2023-01-02 20:00:00,3.3,89.91,0.0,4.8,1023.4,Clear
London,2023-01-02 19:00:00,4.1,84.99,0.0,3.6,1022.7,Clear
London,2023-01-02 18:00:00,4.3,83.8,0.0,3.6,1022.3,Clear
London,2023-01-02 17:00:00,5.1,78.13,0.0,5.1,1021.5,Clear
London,2023-01-02 16:00:00,7.0,68.56,0.0,7.2,1020.6,Clear
London,2023-01-02 15:00:00,7.8,70.68,0.0,9.0,1020.0,Partially cloudy
London,2023-01-02 14:00:00,9.1,64.76,0.0,9.6,1019.0,Partially cloudy
London,2023-01-02 13:00:00,8.5,72.34,0.0,9.5,1018.3,Partially cloudy
London,2023-01-02 12:00:00,9.0,69.98,0.0,8.7,1017.5,Partially cloudy
London,2023-01-02 11:00:00,8.6,83.77,0.0,8.0,1017.1,Partially cloudy
London,2023-01-02 10:00:00,7.3,93.39,0.0,5.0,1016.3,Clear
London,2023-01-02 09:00:00,6.6,95.95,0.199,3.7,1015.1,Rain
London,2023-01-02 08:00:00,6.6,92.71,0.0,6.8,1013.6,Partially cloudy
London,2023-01-02 07:00:00,7.3,93.39,0.0,7.8,1013.0,Partially cloudy
London,2023-01-02 06:00:00,7.1,93.38,0.0,6.3,1011.7,Partially cloudy
London,2023-01-02 05:00:00,7.0,94.02,0.0,5.4,1011.1,Overcast
London,2023-01-02 04:00:00,7.0,94.01,0.0,4.8,1010.5,Partially cloudy
London,2023-01-02 03:00:00,6.8,93.36,0.0,5.8,1010.4,Partially cloudy
London,2023-01-02 02:00:00,7.1,93.37,0.0,6.9,1010.0,Partially cloudy
London,2023-01-02 01:00:00,7.6,92.76,0.0,3.7,1009.3,Partially cloudy
London,2023-01-02 00:00:00,7.5,94.03,0.398,4.1,1009.1,"Rain, Overcast"
London,2023-01-01 23:00:00,7.6,93.4,0.001,4.6,1009.1,"Rain, Partially cloudy"
London,2023-01-01 22:00:00,7.8,92.14,0.2,3.3,1008.4,"Rain, Partially cloudy"
London,2023-01-01 21:00:00,8.1,92.79,0.399,3.7,1008.8,"Rain, Overcast"
London,2023-01-01 20:00:00,8.5,89.09,0.599,4.5,1008.5,"Rain, Overcast"
London,2023-01-01 19:00:00,8.8,87.3,0.202,5.5,1009.0,"Rain, Overcast"
London,2023-01-01 18:00:00,10.8,80.13,0.007,4.8,1008.9,"Rain, Overcast"
